mgra_13,cocpa_13,jurisdiction_2015,jurisdiction_2016,cicpa_13
14574,NULL,12,12,NULL
21023,1951,19,19,NULL
22732,NULL,3,3,NULL
1484,NULL,14,14,1468
18796,NULL,7,7,NULL
22042,1908,19,19,NULL
794,NULL,14,14,1456
4212,NULL,14,14,1441
7458,NULL,3,3,NULL
11159,1907,19,19,NULL
12868,NULL,6,6,NULL
14405,NULL,12,12,NULL
19815,NULL,7,7,NULL
7266,NULL,8,8,NULL
9430,NULL,10,10,NULL
13100,NULL,4,4,NULL
15264,NULL,12,12,NULL
21258,1922,19,19,NULL
10,NULL,14,14,1442
11328,1914,19,19,NULL
17322,NULL,18,18,NULL
17820,NULL,18,18,NULL
19486,NULL,7,7,NULL
19984,NULL,14,14,1432
3236,NULL,14,14,1430
5400,NULL,14,14,1406
6482,NULL,14,14,1420
8646,NULL,2,2,NULL
13884,NULL,6,6,NULL
16048,1951,19,19,NULL
17130,1952,19,19,NULL
22712,NULL,3,3,NULL
1464,NULL,14,14,1468
2546,NULL,14,14,1404
4710,NULL,14,14,1441
7956,NULL,2,2,NULL
10120,1919,19,19,NULL
11202,NULL,5,5,NULL
8603,1918,19,19,NULL
9101,1921,19,19,NULL
12931,1915,19,19,NULL
13429,NULL,6,6,NULL
17259,NULL,18,18,NULL
8709,NULL,2,2,NULL
13037,NULL,6,6,NULL
16240,1912,19,19,NULL
16867,1909,18,18,NULL
20568,1914,19,19,NULL
2566,NULL,14,14,1404
15550,1952,19,19,NULL
16632,1920,19,19,NULL
19878,1909,19,19,NULL
20960,1951,19,19,NULL
2958,NULL,14,14,1442
4040,NULL,14,14,1410
12241,NULL,14,14,1409
13323,NULL,17,17,NULL
16569,1912,19,19,NULL
17651,NULL,1,1,NULL
20897,1951,19,19,NULL
5855,NULL,14,14,1419
8019,NULL,2,2,NULL
9685,NULL,9,9,NULL
10183,1903,19,19,NULL
11849,NULL,14,14,1431
12347,NULL,13,13,NULL
14013,NULL,6,6,NULL
14511,NULL,12,12,NULL
16177,1920,19,19,NULL
16675,1920,19,19,NULL
18341,NULL,15,15,NULL
7627,NULL,11,11,NULL
9791,NULL,9,9,NULL
11955,NULL,14,14,1429
14119,NULL,1,1,NULL
8411,NULL,2,2,NULL
9493,NULL,9,9,NULL
10575,1907,19,19,NULL
11657,NULL,14,14,1434
12739,1915,19,19,NULL
13821,NULL,6,6,NULL
14903,NULL,12,12,NULL
1779,NULL,14,14,1444
3771,NULL,14,14,1427
6688,NULL,14,14,1420
11597,NULL,13,13,NULL
14514,NULL,12,12,NULL
16506,1920,19,19,NULL
19423,1909,19,19,NULL
213,NULL,14,14,1442
10246,NULL,5,5,NULL
15201,NULL,12,12,NULL
17193,NULL,12,12,NULL
18072,NULL,1,1,NULL
3817,NULL,14,14,1427
5809,NULL,14,14,1412
8726,1911,19,19,NULL
9559,NULL,9,9,NULL
21461,1904,19,19,NULL
3130,NULL,14,14,1414
8208,NULL,2,2,NULL
10077,NULL,5,5,NULL
10200,1903,19,19,NULL
15155,NULL,12,12,NULL
20110,NULL,14,14,1432
10764,1907,19,19,NULL
13681,NULL,6,6,NULL
15673,1953,19,19,NULL
19592,1909,19,19,NULL
21507,1904,19,19,NULL
21584,1904,19,19,NULL
336,NULL,14,14,1428
2297,NULL,14,14,1428
10123,1919,19,19,NULL
12115,NULL,13,13,NULL
13117,NULL,4,4,NULL
20943,1922,19,19,NULL
22148,1902,19,19,NULL
900,NULL,14,14,1457
1733,NULL,14,14,1444
11643,NULL,14,14,1434
11720,1915,19,19,NULL
12802,1915,19,19,NULL
13635,NULL,6,6,NULL
22463,1906,19,19,NULL
259,NULL,14,14,1442
2251,NULL,14,14,1428
11079,1907,19,19,NULL
12161,NULL,13,13,NULL
22981,NULL,1,1,NULL
5686,NULL,14,14,1450
14591,NULL,12,12,NULL
20425,1914,19,19,NULL
20674,1902,19,19,NULL
1215,NULL,14,14,1438
6373,NULL,14,14,1447
7252,NULL,8,8,NULL
11033,NULL,16,16,NULL
14199,NULL,1,1,NULL
21066,1951,19,19,NULL
2735,NULL,14,14,1404
7644,NULL,11,11,NULL
10641,NULL,5,5,NULL
13558,NULL,6,6,NULL
14637,NULL,12,12,NULL
15719,1953,19,19,NULL
19546,NULL,7,7,NULL
20379,1914,19,19,NULL
20628,1914,19,19,NULL
2048,NULL,14,14,1469
11282,1907,19,19,NULL
13950,NULL,6,6,NULL
15032,NULL,12,12,NULL
18905,NULL,7,7,NULL
19987,NULL,14,14,1432
4604,NULL,14,14,1429
15424,1953,19,19,NULL
17588,NULL,18,18,NULL
6170,NULL,14,14,1419
16111,1912,19,19,NULL
16990,1909,19,19,NULL
18275,NULL,15,15,NULL
19154,NULL,7,7,NULL
5291,NULL,14,14,1406
3568,NULL,14,14,1423
4650,NULL,14,14,1441
5732,NULL,14,14,1406
15470,1952,19,19,NULL
16552,1912,19,19,NULL
17634,NULL,12,12,NULL
6124,NULL,14,14,1435
7206,NULL,14,14,1425
16944,NULL,18,18,NULL
18026,NULL,1,1,NULL
19108,1909,19,19,NULL
11846,NULL,14,14,1431
14763,NULL,12,12,NULL
20502,1914,19,19,NULL
4209,NULL,14,14,1441
5088,NULL,14,14,1415
6250,NULL,14,14,1435
11205,1907,5,5,NULL
13197,NULL,17,17,NULL
14906,NULL,12,12,NULL
19861,1909,19,19,NULL
4899,NULL,14,14,1415
6891,NULL,14,14,1425
8477,NULL,2,2,NULL
9808,NULL,9,9,NULL
13555,NULL,6,6,NULL
16801,NULL,18,18,NULL
18464,NULL,15,15,NULL
19718,NULL,7,7,NULL
21710,1904,19,19,NULL
22543,NULL,14,14,1430
462,NULL,14,14,1428
2171,NULL,14,14,1469
5417,NULL,14,14,1406
7126,1911,19,19,NULL
9118,1921,19,19,NULL
9167,1921,19,19,NULL
14073,NULL,1,1,NULL
17823,NULL,18,18,NULL
21069,1902,19,19,NULL
21192,1922,19,19,NULL
697,NULL,14,14,1456
1859,NULL,14,14,1469
2861,NULL,14,14,1442
8600,1921,19,19,NULL
10515,NULL,5,5,NULL
11517,NULL,13,13,NULL
12679,1915,19,19,NULL
21335,1902,19,19,NULL
1295,NULL,14,14,1468
2500,NULL,14,14,1404
7959,NULL,2,2,NULL
9951,1919,19,19,NULL
87,NULL,14,14,1442
1169,NULL,14,14,1457
3333,NULL,14,14,1430
777,NULL,14,14,1456
1026,NULL,14,14,1456
3943,NULL,14,14,1427
9433,NULL,9,9,NULL
9682,NULL,9,9,NULL
12350,NULL,13,13,NULL
12599,NULL,14,14,1403
13761,NULL,6,6,NULL
16678,1920,19,19,NULL
22417,1906,19,19,NULL
22666,NULL,14,14,1461
1418,1921,19,19,NULL
4086,NULL,14,14,1410
9041,1921,19,19,NULL
17070,NULL,12,12,NULL
22025,1908,19,19,NULL
3645,NULL,14,14,1427
4727,NULL,14,14,1441
3253,NULL,14,14,1430
4335,NULL,14,14,1410
6044,NULL,14,14,1412
9290,NULL,10,10,NULL
10372,NULL,5,5,NULL
12991,NULL,6,6,NULL
16237,1912,19,19,NULL
17319,NULL,18,18,NULL
17946,NULL,18,18,NULL
19028,NULL,7,7,NULL
22274,1901,19,19,NULL
4776,NULL,14,14,1415
13432,NULL,6,6,NULL
15596,1953,19,19,NULL
3004,NULL,14,14,1483
5168,NULL,14,14,1415
7332,NULL,8,8,NULL
13824,NULL,6,6,NULL
15988,1912,19,19,NULL
18152,NULL,1,1,NULL
4478,NULL,14,14,1421
5560,NULL,14,14,1406
6642,NULL,14,14,1420
7724,NULL,11,11,NULL
8806,1921,19,19,NULL
24,NULL,14,14,1442
2941,NULL,14,14,1442
10435,NULL,5,5,NULL
12427,NULL,13,13,NULL
15344,1953,19,19,NULL
18261,NULL,15,15,NULL
20253,1914,19,19,NULL
6877,NULL,14,14,1425
9416,NULL,10,10,NULL
11408,1907,19,19,NULL
16363,1920,19,19,NULL
70,NULL,14,14,1442
2563,NULL,14,14,1404
5480,NULL,14,14,1406
17382,NULL,18,18,NULL
22792,NULL,11,11,NULL
1089,NULL,14,14,1458
1544,NULL,14,14,1444
6499,NULL,14,14,1420
18401,NULL,15,15,NULL
525,NULL,14,14,1459
5025,NULL,14,14,1415
7017,NULL,14,14,1426
8351,NULL,2,2,NULL
14843,NULL,12,12,NULL
15845,1953,19,19,NULL
22337,1906,19,19,NULL
1467,NULL,14,14,1468
4461,NULL,14,14,1421
10953,NULL,16,16,NULL
12287,NULL,14,14,1434
18779,NULL,7,7,NULL
21773,1904,19,19,NULL
4979,NULL,14,14,1415
8397,NULL,2,2,NULL
10389,NULL,5,5,NULL
13807,NULL,6,6,NULL
14889,NULL,12,12,NULL
15799,1955,19,19,NULL
16881,1909,19,19,NULL
20299,1914,19,19,NULL
22291,1901,19,19,NULL
2423,NULL,14,14,1469
3505,NULL,14,14,1430
4415,NULL,14,14,1421
5497,NULL,14,14,1406
8915,1919,19,19,NULL
14325,NULL,1,1,NULL
19735,NULL,7,7,NULL
20817,1951,19,19,NULL
1607,NULL,14,14,1444
5935,NULL,14,14,1406
5543,NULL,14,14,1406
9871,NULL,9,9,NULL
15908,1955,19,19,NULL
20236,1914,19,19,NULL
22855,NULL,11,11,NULL
6562,NULL,14,14,1420
10890,NULL,16,16,NULL
11972,NULL,14,14,1464
16300,1920,19,19,NULL
2626,NULL,14,14,1404
6954,NULL,2,2,NULL
8036,NULL,2,2,NULL
1106,NULL,14,14,1438
4006,NULL,14,14,1410
8334,NULL,2,2,NULL
10498,NULL,5,5,NULL
14826,NULL,12,12,NULL
21318,1922,19,19,NULL
22652,NULL,14,14,1430
1404,NULL,14,14,1444
2486,NULL,14,14,1404
6814,NULL,14,14,1425
7896,1999,19,19,NULL
8978,1921,19,19,NULL
12224,NULL,14,14,1409
13306,NULL,14,14,1455
14388,NULL,12,12,NULL
18716,1909,19,19,NULL
19798,1909,19,19,NULL
2878,NULL,14,14,1442
3960,NULL,14,14,1427
5042,NULL,14,14,1415
8288,NULL,2,2,NULL
9370,NULL,10,10,NULL
10452,NULL,5,5,NULL
14780,NULL,12,12,NULL
15862,1953,19,19,NULL
20190,1914,19,19,NULL
21272,1922,19,19,NULL
22354,1911,19,19,NULL
2360,NULL,14,14,1408
8099,NULL,2,2,NULL
11016,NULL,16,16,NULL
19672,NULL,7,7,NULL
22589,NULL,14,14,1430
3379,NULL,14,14,1430
7080,NULL,14,14,1433
12035,NULL,14,14,1429
15736,1953,19,19,NULL
20691,1902,19,19,NULL
2689,NULL,14,14,1404
4853,NULL,14,14,1415
11345,NULL,13,13,NULL
13509,NULL,6,6,NULL
17179,1909,19,19,NULL
19343,NULL,7,7,NULL
133,NULL,14,14,1442
6625,NULL,14,14,1420
8789,1921,19,19,NULL
15281,NULL,12,12,NULL
17445,NULL,18,18,NULL
2815,NULL,14,14,1404
3897,NULL,14,14,1427
6061,NULL,14,14,1412
9307,NULL,14,14,1444
9479,NULL,9,9,NULL
10561,NULL,16,16,NULL
18135,NULL,1,1,NULL
19217,1909,19,19,NULL
20127,1914,19,19,NULL
21209,1922,19,19,NULL
21381,1904,19,19,NULL
651,NULL,14,14,1458
11471,NULL,14,14,1429
12553,NULL,13,13,NULL
12725,1915,19,19,NULL
14717,NULL,12,12,NULL
15971,1912,19,19,NULL
17963,NULL,18,18,NULL
1341,NULL,14,14,1468
4587,NULL,14,14,1429
6751,NULL,14,14,1420
7833,NULL,11,11,NULL
9997,1919,19,19,NULL
13243,NULL,17,17,NULL
15407,1953,19,19,NULL
16489,1909,19,19,NULL
18653,1909,19,19,NULL
21899,1902,19,19,NULL
196,NULL,14,14,1442
4524,NULL,14,14,1421
8852,1919,19,19,NULL
13180,NULL,17,17,NULL
17508,NULL,18,18,NULL
21836,1908,19,19,NULL
588,NULL,14,14,1458
4916,NULL,14,14,1415
9244,NULL,10,10,NULL
13572,NULL,6,6,NULL
17900,1909,19,19,NULL
1278,NULL,14,14,1468
3442,NULL,14,14,1423
5606,NULL,14,14,1450
7770,NULL,11,11,NULL
9934,1919,19,19,NULL
12098,NULL,13,13,NULL
14262,NULL,1,1,NULL
16426,1920,19,19,NULL
18590,NULL,15,15,NULL
20754,1951,19,19,NULL
22918,NULL,1,1,NULL
1670,1918,19,19,NULL
3834,NULL,14,14,1427
5998,NULL,14,14,1406
8162,NULL,2,2,NULL
10326,NULL,5,5,NULL
12490,NULL,14,14,1431
14654,NULL,12,12,NULL
16818,NULL,18,18,NULL
18982,NULL,7,7,NULL
12788,1915,19,19,NULL
13870,NULL,6,6,NULL
14952,NULL,12,12,NULL
16034,1912,19,19,NULL
17116,NULL,12,12,NULL
18198,NULL,18,18,NULL
19280,1915,19,19,NULL
20362,1914,19,19,NULL
21444,1904,19,19,NULL
22526,1911,19,19,NULL
2111,NULL,14,14,1469
7684,NULL,11,11,NULL
10601,NULL,5,5,NULL
16174,1920,19,19,NULL
19091,NULL,15,15,NULL
545,NULL,14,14,1459
3416,NULL,14,14,1423
9035,NULL,10,10,NULL
9250,NULL,10,10,NULL
14869,NULL,12,12,NULL
17740,NULL,18,18,NULL
4813,NULL,14,14,1415
7730,NULL,11,11,NULL
10555,NULL,5,5,NULL
13472,NULL,6,6,NULL
21793,1904,19,19,NULL
3462,NULL,14,14,1430
9081,1921,19,19,NULL
9204,1921,19,19,NULL
14823,NULL,12,12,NULL
20442,1914,19,19,NULL
4859,NULL,14,14,1415
4936,NULL,14,14,1415
7853,NULL,11,11,NULL
16343,1920,19,19,NULL
18922,NULL,7,7,NULL
3631,NULL,14,14,1417
6164,NULL,14,14,1419
6502,NULL,14,14,1420
14992,NULL,12,12,NULL
20273,1914,19,19,NULL
4982,NULL,14,14,1415
7561,NULL,11,11,NULL
7807,NULL,11,11,NULL
16220,1912,19,19,NULL
19045,NULL,7,7,NULL
6210,NULL,14,14,1435
6333,NULL,14,14,1481
6456,NULL,14,14,1420
17571,NULL,18,18,NULL
17694,NULL,1,1,NULL
2188,NULL,14,14,1408
4690,NULL,14,14,1441
10263,1903,19,19,NULL
13595,NULL,6,6,NULL
16097,1912,19,19,NULL
16512,1920,19,19,NULL
18753,1909,19,19,NULL
21670,1904,19,19,NULL
422,NULL,14,14,1428
3754,NULL,14,14,1427
9373,NULL,10,10,NULL
14531,NULL,12,12,NULL
20734,1902,19,19,NULL
2234,NULL,14,14,1428
4644,NULL,14,14,1441
10309,NULL,5,5,NULL
13641,NULL,6,6,NULL
16051,1912,19,19,NULL
18968,NULL,7,7,NULL
19214,NULL,15,15,NULL
3708,NULL,14,14,1418
9327,NULL,10,10,NULL
14577,NULL,12,12,NULL
18032,1909,19,19,NULL
1942,NULL,14,14,1469
10847,NULL,16,16,NULL
13011,1915,19,19,NULL
13349,1915,19,19,NULL
19260,NULL,7,7,NULL
22254,1901,19,19,NULL
3170,NULL,14,14,1430
11783,1915,19,19,NULL
12121,NULL,13,13,NULL
20488,1914,19,19,NULL
1006,NULL,14,14,1456
1650,1918,19,19,NULL
10893,NULL,16,16,NULL
13057,1915,19,19,NULL
13303,NULL,14,14,1455
21962,1908,19,19,NULL
22208,1901,19,19,NULL
468,NULL,14,14,1428
714,NULL,14,14,1458
960,NULL,14,14,1457
11829,1915,19,19,NULL
12075,NULL,14,14,1405
2526,NULL,14,14,1404
7269,NULL,8,8,NULL
10186,1901,19,19,NULL
15759,1953,19,19,NULL
19506,NULL,7,7,NULL
22423,1903,19,19,NULL
3047,NULL,14,14,1414
6748,NULL,14,14,1420
14408,NULL,12,12,NULL
20857,1951,19,19,NULL
1481,NULL,14,14,1468
4398,NULL,14,14,1440
8145,NULL,2,2,NULL
13718,NULL,6,6,NULL
13887,NULL,6,6,NULL
21378,1904,19,19,NULL
21547,1904,19,19,NULL
130,NULL,14,14,1442
1175,NULL,14,14,1457
5872,NULL,14,14,1419
11491,NULL,14,14,1431
12413,NULL,13,13,NULL
12536,NULL,13,13,NULL
20196,1914,19,19,NULL
22729,NULL,3,3,NULL
5274,NULL,14,14,1406
7438,NULL,3,3,NULL
10017,1919,19,19,NULL
16758,1952,19,19,NULL
18507,NULL,15,15,NULL
4000,NULL,14,14,1427
5795,NULL,14,14,1419
17156,1952,19,19,NULL
18109,NULL,1,1,NULL
5397,NULL,14,14,1406
7146,NULL,14,14,1425
16466,1909,19,19,NULL
16635,1920,19,19,NULL
18630,NULL,7,7,NULL
18799,NULL,7,7,NULL
6087,NULL,14,14,1450
6579,NULL,14,14,1420
8620,NULL,2,2,NULL
15284,NULL,12,12,NULL
17448,NULL,18,18,NULL
17817,1909,19,19,NULL
19981,NULL,7,7,NULL
1773,NULL,14,14,1444
5105,NULL,14,14,1415
8022,NULL,2,2,NULL
14010,NULL,6,6,NULL
16927,1952,19,19,NULL
18338,NULL,15,15,NULL
21255,1922,19,19,NULL
883,NULL,14,14,1456
8912,1919,19,19,NULL
12244,NULL,14,14,1409
2649,NULL,14,14,1404
5566,NULL,14,14,1406
6977,NULL,14,14,1426
9894,NULL,9,9,NULL
15882,1953,19,19,NULL
19383,NULL,7,7,NULL
7,NULL,14,14,1442
3339,NULL,14,14,1430
7040,NULL,14,14,1426
11368,NULL,13,13,NULL
14700,NULL,12,12,NULL
20565,1902,19,19,NULL
2357,NULL,14,14,1408
4521,NULL,14,14,1463
11262,1907,19,19,NULL
13426,NULL,6,6,NULL
15590,1953,19,19,NULL
19675,NULL,7,7,NULL
21839,1908,19,19,NULL
299,NULL,14,14,1442
9496,NULL,9,9,NULL
11660,NULL,14,14,1434
2065,NULL,14,14,1469
4229,NULL,14,14,1410
10478,NULL,5,5,NULL
10970,NULL,16,16,NULL
12642,NULL,6,6,NULL
19967,1909,19,19,NULL
22131,1902,19,19,NULL
591,NULL,14,14,1458
2755,NULL,14,14,1401
9788,NULL,9,9,NULL
11952,NULL,14,14,1429
14116,NULL,1,1,NULL
21149,1922,19,19,NULL
3937,NULL,14,14,1427
5858,NULL,14,14,1419
6854,NULL,14,14,1433
19921,NULL,7,7,NULL
22838,NULL,11,11,NULL
1590,NULL,14,14,1444
2586,NULL,14,14,1404
11076,1907,19,19,NULL
15699,1953,19,19,NULL
16695,1920,19,19,NULL
5812,NULL,14,14,1412
6808,NULL,14,14,1425
11477,NULL,14,14,1429
12473,NULL,14,14,1403
17219,NULL,18,18,NULL
18215,NULL,15,15,NULL
21132,1922,19,19,NULL
1421,1921,19,19,NULL
2417,NULL,14,14,1469
5503,NULL,14,14,1406
12782,1915,19,19,NULL
15868,1953,19,19,NULL
16741,1920,19,19,NULL
16864,NULL,18,18,NULL
1189,NULL,14,14,1457
3110,NULL,14,14,1414
7023,NULL,14,14,1426
9602,NULL,9,9,NULL
17173,NULL,18,18,NULL
21086,1902,19,19,NULL
4338,NULL,14,14,1410
8328,NULL,2,2,NULL
12951,1915,19,19,NULL
19443,NULL,7,7,NULL
22437,1906,19,19,NULL
3064,NULL,14,14,1424
5643,NULL,14,14,1450
9556,NULL,9,9,NULL
9725,NULL,9,9,NULL
14471,NULL,12,12,NULL
18384,NULL,15,15,NULL
20963,1951,19,19,NULL
4169,NULL,14,14,1410
8251,NULL,2,2,NULL
13120,NULL,4,4,NULL
15530,1952,19,19,NULL
19489,NULL,7,7,NULL
19612,1909,19,19,NULL
362,NULL,14,14,1428
1358,NULL,14,14,1444
3860,NULL,14,14,1427
14425,NULL,12,12,NULL
17342,NULL,18,18,NULL
22500,1906,19,19,NULL
1252,NULL,14,14,1438
5580,NULL,14,14,1406
6871,NULL,14,14,1425
8082,NULL,2,2,NULL
10203,1901,19,19,NULL
11199,1907,19,19,NULL
15361,1953,19,19,NULL
21564,1904,19,19,NULL
316,NULL,14,14,1428
5981,NULL,14,14,1406
8391,NULL,2,2,NULL
11723,1915,19,19,NULL
12719,1915,19,19,NULL
14640,NULL,12,12,NULL
17969,NULL,18,18,NULL
6917,NULL,14,14,1433
10249,1903,19,19,NULL
11245,1907,19,19,NULL
18278,NULL,15,15,NULL
21610,1904,19,19,NULL
22360,1911,19,19,NULL
22606,NULL,14,14,1430
1112,NULL,14,14,1438
4106,NULL,14,14,1427
19752,1909,19,19,NULL
20090,NULL,13,13,NULL
5334,NULL,14,14,1406
7455,NULL,3,3,NULL
9619,NULL,9,9,NULL
13947,NULL,6,6,NULL
18816,NULL,7,7,NULL
20980,1951,19,19,NULL
8729,NULL,2,2,NULL
8975,1919,19,19,NULL
11139,1907,19,19,NULL
15221,1953,19,19,NULL
15467,1953,19,19,NULL
2632,NULL,14,14,1404
7501,NULL,3,3,NULL
9665,NULL,9,9,NULL
13993,NULL,6,6,NULL
18862,NULL,7,7,NULL
21026,1951,19,19,NULL
1696,1918,19,19,NULL
3522,NULL,14,14,1430
6439,NULL,14,14,1447
16589,1920,19,19,NULL
5918,NULL,14,14,1406
12367,NULL,13,13,NULL
13578,NULL,6,6,NULL
19031,NULL,7,7,NULL
20027,NULL,7,7,NULL
2480,NULL,14,14,1402
6227,NULL,14,14,1435
9144,1921,19,19,NULL
10140,1919,19,19,NULL
14883,NULL,12,12,NULL
15805,1953,19,19,NULL
16804,NULL,18,18,NULL
17800,NULL,18,18,NULL
4753,NULL,14,14,1441
5749,NULL,14,14,1406
13409,NULL,6,6,NULL
16114,1912,19,19,NULL
17110,NULL,12,12,NULL
774,NULL,14,14,1456
9187,1921,19,19,NULL
19337,NULL,7,7,NULL
21501,1904,19,19,NULL
2174,NULL,14,14,1469
8666,NULL,2,2,NULL
10830,NULL,16,16,NULL
15115,NULL,12,12,NULL
17279,NULL,18,18,NULL
3479,NULL,14,14,1430
5228,NULL,14,14,1429
7392,NULL,3,3,NULL
9971,NULL,5,5,NULL
11892,NULL,14,14,1431
14056,NULL,6,6,NULL
20548,1914,19,19,NULL
2005,NULL,14,14,1469
8497,NULL,2,2,NULL
10661,NULL,5,5,NULL
13366,1915,19,19,NULL
19858,1909,19,19,NULL
22022,1908,19,19,NULL
943,NULL,14,14,1457
4275,NULL,14,14,1410
17757,NULL,1,1,NULL
22085,1908,19,19,NULL
7086,NULL,14,14,1433
11414,NULL,13,13,NULL
13535,NULL,6,6,NULL
17863,1909,19,19,NULL
21195,1922,19,19,NULL
22191,1902,19,19,NULL
731,NULL,14,14,1456
3648,NULL,14,14,1418
7976,NULL,2,2,NULL
11308,1907,19,19,NULL
12304,NULL,14,14,1434
15636,1953,19,19,NULL
253,NULL,14,14,1442
3585,NULL,14,14,1423
4581,NULL,14,14,1462
7913,NULL,2,2,NULL
10618,NULL,5,5,NULL
14946,NULL,12,12,NULL
19274,1915,19,19,NULL
21979,1908,19,19,NULL
3691,NULL,14,14,1418
20505,1914,19,19,NULL
22669,NULL,14,14,1465
1527,NULL,14,14,1444
16283,1955,19,19,NULL
18447,NULL,15,15,NULL
20611,1914,19,19,NULL
22775,NULL,11,11,NULL
6396,NULL,14,14,1447
8560,NULL,2,2,NULL
10724,NULL,5,5,NULL
12888,NULL,6,6,NULL
15052,NULL,18,18,NULL
837,NULL,14,14,1456
3001,NULL,14,14,1483
5165,NULL,14,14,1415
7329,NULL,8,8,NULL
7870,1999,19,19,NULL
10034,NULL,5,5,NULL
12198,NULL,14,14,1405
14362,NULL,1,1,NULL
3107,NULL,14,14,1442
6024,NULL,14,14,1406
20751,1951,19,19,NULL
2420,NULL,14,14,1469
7375,NULL,3,3,NULL
8039,NULL,2,2,NULL
10910,NULL,16,16,NULL
15865,1953,19,19,NULL
18736,1909,19,19,NULL
19400,NULL,7,7,NULL
8895,1919,19,19,NULL
9390,NULL,10,10,NULL
14468,NULL,12,12,NULL
20797,1951,19,19,NULL
2466,NULL,14,14,1404
4458,NULL,14,14,1421
13827,NULL,6,6,NULL
15819,1953,19,19,NULL
946,NULL,14,14,1457
1023,NULL,14,14,1456
2938,NULL,14,14,1442
9436,NULL,9,9,NULL
11428,NULL,14,14,1431
11766,NULL,14,14,1464
12430,NULL,13,13,NULL
14345,NULL,1,1,NULL
15009,NULL,12,12,NULL
20256,1914,19,19,NULL
22835,NULL,11,11,NULL
1633,1918,19,19,NULL
12994,NULL,15,15,NULL
13781,NULL,6,6,NULL
22271,1901,19,19,NULL
405,NULL,14,14,1428
9728,NULL,9,9,NULL
11474,NULL,14,14,1429
12307,NULL,14,14,1434
22881,NULL,11,11,NULL
1069,NULL,14,14,1438
1587,NULL,14,14,1444
10415,NULL,5,5,NULL
10956,NULL,16,16,NULL
12825,1915,19,19,NULL
12948,1915,19,19,NULL
13489,NULL,6,6,NULL
21653,1904,19,19,NULL
21776,1904,19,19,NULL
22194,1902,19,19,NULL
22317,1901,19,19,NULL
113,NULL,14,14,1442
528,NULL,14,14,1459
18172,NULL,18,18,NULL
2543,NULL,14,14,1404
5045,NULL,14,14,1415
11248,1907,19,19,NULL
12871,NULL,6,6,NULL
16406,1920,19,19,NULL
18859,NULL,7,7,NULL
19738,NULL,7,7,NULL
21361,1904,19,19,NULL
67,NULL,14,14,1442
2984,NULL,14,14,1442
6316,NULL,14,14,1434
8972,1919,19,19,NULL
11969,NULL,14,14,1429
14886,NULL,12,12,NULL
18218,NULL,15,15,NULL
4999,NULL,14,14,1415
8331,NULL,2,2,NULL
9954,NULL,5,5,NULL
16360,1920,19,19,NULL
19692,NULL,7,7,NULL
21315,1922,19,19,NULL
6270,NULL,14,14,1441
6519,NULL,14,14,1420
6857,NULL,14,14,1433
8434,NULL,2,2,NULL
17339,NULL,18,18,NULL
17677,NULL,18,18,NULL
17926,1909,19,19,NULL
19841,1909,19,19,NULL
4504,NULL,14,14,1448
7498,NULL,3,3,NULL
5978,NULL,14,14,1406
6565,NULL,14,14,1420
6811,NULL,14,14,1425
17385,NULL,18,18,NULL
17631,NULL,1,1,NULL
17880,1909,19,19,NULL
19795,1909,19,19,NULL
4796,NULL,14,14,1415
5337,NULL,14,14,1406
16157,1920,19,19,NULL
16698,1920,19,19,NULL
18321,NULL,15,15,NULL
2692,NULL,14,14,1404
20336,1914,19,19,NULL
4043,NULL,14,14,1410
4707,NULL,14,14,1441
5752,NULL,14,14,1412
10707,NULL,5,5,NULL
13412,NULL,6,6,NULL
15404,1953,19,19,NULL
19197,NULL,15,15,NULL
21902,1904,19,19,NULL
22068,1908,19,19,NULL
820,NULL,14,14,1456
12722,1915,19,19,NULL
2835,NULL,14,14,1404
14196,NULL,1,1,NULL
1361,NULL,14,14,1444
3525,NULL,14,14,1430
9851,NULL,9,9,NULL
12015,NULL,14,14,1429
12181,NULL,13,13,NULL
13930,NULL,6,6,NULL
14594,NULL,12,12,NULL
20671,1902,19,19,NULL
2002,NULL,14,14,1469
4166,NULL,14,14,1410
15945,1955,19,19,NULL
22609,NULL,14,14,1430
654,NULL,14,14,1459
2569,NULL,14,14,1404
3233,NULL,14,14,1430
9310,NULL,14,14,1444
10143,1903,19,19,NULL
11889,NULL,14,14,1431
14053,NULL,6,6,NULL
21212,1922,19,19,NULL
2128,NULL,14,14,1469
8792,1921,19,19,NULL
10784,NULL,5,5,NULL
12579,NULL,14,14,1403
20030,NULL,7,7,NULL
11325,1907,19,19,NULL
18587,NULL,15,15,NULL
21504,1904,19,19,NULL
256,NULL,14,14,1442
1879,NULL,14,14,1468
4584,NULL,14,14,1462
5211,NULL,14,14,1429
7916,NULL,2,2,NULL
9539,NULL,9,9,NULL
13240,NULL,17,17,NULL
16572,1920,19,19,NULL
20900,1951,19,19,NULL
7226,NULL,14,14,1425
11554,1914,19,19,NULL
20210,1914,19,19,NULL
193,NULL,14,14,1442
6685,NULL,14,14,1420
6934,1911,19,19,NULL
8849,1919,19,19,NULL
9098,1921,19,19,NULL
11013,NULL,16,16,NULL
13183,NULL,17,17,NULL
15098,NULL,12,12,NULL
15347,1953,19,19,NULL
17262,NULL,18,18,NULL
17511,NULL,18,18,NULL
19426,1909,19,19,NULL
17113,NULL,12,12,NULL
19277,1915,19,19,NULL
